model,0,1,2,3,4,mean,std
ridge,3.8059897327667973,3.8059897327667973,3.8059897327667973,3.8059897327667973,3.8059897327667973,3.8059897327667978,4.965068306494546e-16
gradient_boosting,4.566996505103995,4.566996505103995,4.566996505103995,4.566996505103995,4.566996505103995,4.566996505103995,0.0
mlp_deep,4.802973425760831,4.414074318875241,4.865978343092122,4.593805698762093,4.507019467623467,4.636770250822751,0.19263601785610668
mlp_small,5.535354403059266,5.530618450172441,5.389429087190397,5.047315267172566,5.10963457809156,5.322470357137246,0.231375295541736
seasonal_naive,5.847152451756679,5.847152451756679,5.847152451756679,5.847152451756679,5.847152451756679,5.847152451756679,0.0
